"Tirada";"Interrupt";"t"
116;1;164
116;2;29176
116;3;50076
116;4;66612
116;5;81812
116;6;94768
116;7;107516
116;8;118436
116;9;130592
116;10;140192
116;11;150604
116;12;159888
117;1;168
117;2;28136
117;3;48700
117;4;65056
117;5;80004
117;6;92784
117;7;105508
117;8;116360
117;9;128304
117;10;137752
117;11;148148
117;12;156668
118;1;284
118;2;33464
118;3;55932
118;4;73188
118;5;89152
118;6;102376
118;7;115228
118;8;126380
118;9;138888
118;10;148748
118;11;159380
118;12;168272
119;1;312
119;2;35552
119;3;58780
119;4;76380
119;5;92608
119;6;106016
119;7;119024
119;8;130136
119;9;142436
119;10;152140
119;11;162744
119;12;171444
120;1;284
120;2;34920
120;3;57608
120;4;74960
120;5;90944
120;6;104328
120;7;117384
120;8;128580
120;9;141324
120;10;152232
120;11;164160
120;12;174068
121;1;284
121;2;34552
121;3;58744
121;4;77100
121;5;93388
121;6;107184
121;7;120552
121;8;131984
121;9;144588
121;10;154508
121;11;165260
121;12;174148
122;1;276
122;2;32156
122;3;54788
122;4;72180
122;5;88192
122;6;101468
122;7;114440
122;8;125588
122;9;137888
122;10;147636
122;11;158168
122;12;167008
123;1;272
123;2;820
123;3;55552
123;4;81268
123;5;100032
123;6;116812
123;7;130760
123;8;144240
123;9;155824
123;10;168404
123;11;178464
123;12;189224
123;13;196340
124;1;284
124;2;31212
124;3;53212
124;4;70108
124;5;85936
124;6;99116
124;7;111920
124;8;122952
124;9;135100
124;10;144768
124;11;155196
124;12;163920
125;1;236
125;2;33788
125;3;55816
125;4;73096
125;5;88392
125;6;101560
125;7;114644
125;8;125608
125;9;137792
125;10;147400
125;11;158676
125;12;167936
126;1;208
126;2;33948
126;3;55936
126;4;73344
126;5;88792
126;6;91072
126;7;91464
127;1;276
127;2;29948
127;3;51372
127;4;68060
127;5;83616
127;6;96520
127;7;109284
127;8;120176
127;9;132300
127;10;141848
127;11;152244
127;12;160776
128;1;312
128;2;31856
128;3;53608
128;4;70604
128;5;86180
128;6;99232
128;7;112072
128;8;122916
128;9;135176
128;10;144488
128;11;155740
128;12;165344
129;1;276
129;2;820
129;3;47976
129;4;72280
129;5;90524
129;6;106804
129;7;120488
129;8;133744
129;9;145044
129;10;157512
129;11;167312
129;12;177924
129;13;186636
130;1;200
130;2;33264
130;3;55528
130;4;72612
130;5;88520
130;6;101580
130;7;114536
130;8;125452
130;9;137776
130;10;147240
130;11;157860
130;12;166564
131;1;272
131;2;508
131;3;37200
131;4;60976
131;5;78712
131;6;95156
131;7;109052
131;8;122648
131;9;134156
131;10;146124
131;11;155956
131;12;166664
131;13;175484
132;1;316
132;2;26500
132;3;46988
132;4;63292
132;5;78732
132;6;91668
132;7;104276
132;8;115852
132;9;129296
132;10;139796
132;11;151128
132;12;160480
133;1;288
133;2;30924
133;3;53200
133;4;70292
133;5;86248
133;6;99404
133;7;112332
133;8;123360
133;9;135600
133;10;145428
133;11;156268
133;12;165164
134;1;168
134;2;29684
134;3;50472
134;4;67140
134;5;82028
134;6;94948
134;7;107636
134;8;118584
134;9;130448
134;10;139960
134;11;150260
134;12;158804
135;1;240
135;2;30528
135;3;45928
135;4;58792
135;5;71528
135;6;82364
135;7;93584
135;8;103068
135;9;114100
135;10;122664
135;11;132388
135;12;140280
136;1;276
136;2;32632
136;3;54920
136;4;72188
136;5;87844
136;6;101120
136;7;114008
136;8;125064
136;9;137220
136;10;146828
136;11;157276
136;12;165772
137;1;208
137;2;37668
137;3;60940
137;4;78568
137;5;94816
137;6;108152
137;7;121316
137;8;132416
137;9;144868
137;10;154520
137;11;165352
137;12;174264
138;1;316
138;2;35240
138;3;58376
138;4;76236
138;5;92300
138;6;105812
138;7;119136
138;8;130420
138;9;142976
138;10;154112
138;11;164228
138;12;172300
139;1;208
139;2;28376
139;3;48820
139;4;65224
139;5;80048
139;6;92852
139;7;105600
139;8;116456
139;9;128352
139;10;137820
140;1;244
140;2;32604
140;3;54740
140;4;71832
140;5;87772
140;6;100848
140;7;113708
140;8;124632
140;9;136832
140;10;146356
140;11;156900
140;12;165452
141;1;312
141;2;32676
141;3;54624
141;4;71760
141;5;87136
141;6;100248
141;7;113084
141;8;124064
141;9;136092
141;10;145580
141;11;156000
141;12;164500
142;1;204
142;2;34472
142;3;57208
142;4;74436
142;5;90380
142;6;103520
142;7;116428
142;8;127452
142;9;139724
142;10;149340
142;11;159832
142;12;168512
143;1;204
143;2;33584
143;3;56244
143;4;73440
143;5;89796
143;6;103284
143;7;116744
143;8;128092
143;9;140860
143;10;150644
143;11;161588
143;12;170360
144;1;200
144;2;30872
144;3;52524
144;4;69360
144;5;85088
144;6;98064
144;7;110784
144;8;121688
144;9;133824
144;10;143712
144;11;154780
144;12;163840
145;1;236
145;2;32484
145;3;54628
145;4;71636
145;5;87488
145;6;100504
145;7;113456
145;8;124384
145;9;136688
145;10;146284
145;11;157244
145;12;166100
146;1;160
146;2;29692
146;3;50780
146;4;67364
146;5;82640
146;6;95512
146;7;108332
146;8;119148
146;9;131340
146;10;140828
146;11;151316
146;12;159768
147;1;280
147;2;524
147;3;36860
147;4;60480
147;5;78216
147;6;94604
147;7;108400
147;8;121832
147;9;133300
147;10;146032
147;11;156016
147;12;166800
147;13;176036
148;1;236
148;2;25440
148;3;45068
148;4;60784
148;5;75652
148;6;88124
148;7;100424
148;8;111012
148;9;122800
148;10;132048
148;11;142312
148;12;150664
149;1;280
149;2;800
149;3;47568
149;4;72092
149;5;90384
149;6;106816
149;7;120492
149;8;133892
149;9;145212
149;10;157792
149;11;167540
149;12;178364
149;13;187024
150;1;120
150;2;26412
150;3;46672
150;4;62660
150;5;77868
150;6;90424
150;7;103036
150;8;113652
150;9;125740
150;10;135084
150;11;145604
150;12;154052
151;1;244
151;2;27732
151;3;47924
151;4;64208
151;5;79056
151;6;91740
151;7;104372
151;8;115128
151;9;127068
151;10;136424
151;11;146752
151;12;155272
152;1;196
152;2;32780
152;3;54936
152;4;72120
152;5;87724
152;6;100908
152;7;113852
152;8;124816
152;9;137100
152;10;146712
152;11;157228
152;12;165716
153;1;164
153;2;27476
153;3;47992
153;4;64264
153;5;79432
153;6;92176
153;7;104756
153;8;115572
153;9;127600
153;10;137072
153;11;147416
153;12;155952
154;1;172
154;2;28540
154;3;49216
154;4;65644
154;5;80760
154;6;93536
154;7;106264
154;8;117016
154;9;129144
154;10;138604
154;11;149016
154;12;157416
155;1;248
155;2;31980
155;3;53976
155;4;70896
155;5;86656
155;6;99656
155;7;112476
155;8;123468
155;9;135624
155;10;145176
155;11;155680
155;12;164332
156;1;120
156;2;26064
156;3;46184
156;4;62132
156;5;77372
156;6;89892
156;7;102340
156;8;112936
156;9;124920
156;10;134340
156;11;144824
156;12;153244
157;1;204
157;2;35532
157;3;58696
157;4;75956
157;5;92252
157;6;105328
157;7;118540
157;8;129436
157;9;141888
157;10;151700
157;11;162144
157;12;170588
158;1;296
158;2;38704
158;3;62008
158;4;79772
158;5;95756
158;6;109140
158;7;122312
158;8;133480
158;9;145896
158;10;155580
158;11;166220
158;12;174908
159;1;172
159;2;31052
159;3;52848
159;4;69696
159;5;85280
159;6;98164
159;7;110936
159;8;121720
159;9;133908
159;10;143412
159;11;155484
159;12;165216
160;1;196
160;2;29984
160;3;51220
160;4;67832
160;5;83284
160;6;96208
160;7;108936
160;8;119844
160;9;131940
160;10;141452
160;11;151900
160;12;160508

