"Tirada";"Interrupt";"t"
104;4;62132
104;5;76280
104;6;89092
104;7;101432
104;8;112332
104;9;123916
104;10;133460
104;11;143480
104;12;152116
105;1;240
105;2;28128
105;3;48280
105;4;64588
105;5;79420
105;6;92212
105;7;104644
105;8;115488
105;9;127280
105;10;136752
105;11;146900
105;12;155496
106;1;196
106;2;25864
106;3;44864
106;4;60808
106;5;75228
106;6;87924
106;7;100164
106;8;110960
106;9;122652
106;10;132156
106;11;142224
106;12;150840
107;1;164
107;2;23776
107;3;41912
107;4;57284
107;5;71092
107;6;83444
107;7;95408
107;8;105964
107;9;117196
107;10;126532
107;11;136324
107;12;144700
108;1;200
108;2;28044
108;3;48068
108;4;64420
108;5;79112
108;6;92000
108;7;104512
108;8;115388
108;9;127220
108;10;136852
108;11;146968
108;12;155612
109;1;272
109;2;30388
109;3;51812
109;4;68500
109;5;83796
109;6;96704
109;7;109212
109;8;120112
109;9;131872
109;10;141400
109;11;151460
109;12;160000
110;1;280
110;2;33300
110;3;55120
110;4;72268
110;5;87884
110;6;101124
110;7;113820
110;8;124912
110;9;136976
110;10;146672
110;11;157020
110;12;165784
111;1;268
111;2;37884
111;3;61040
111;4;78568
111;5;94712
111;6;108084
111;7;120876
111;8;132000
111;9;144220
111;10;154120
111;11;164600
111;12;173476
112;1;288
112;2;37004
112;3;59672
112;4;77184
112;5;92920
112;6;106312
112;7;119212
112;8;130400
112;9;142548
112;10;153392
112;11;165332
112;12;175544
113;1;276
113;2;30752
113;3;51540
113;4;68480
113;5;83444
113;6;96600
113;7;109108
113;8;120184
113;9;132088
113;10;141816
113;11;151988
113;12;160692
114;1;248
114;2;27908
114;3;47992
114;4;64308
114;5;79100
114;6;91944
114;7;104344
114;8;115216
114;9;127028
114;10;136560
114;11;146732
114;12;155328
115;1;236
115;2;26104
115;3;44948
115;4;61016
115;5;75196
115;6;87968
115;7;100296
115;8;111088
115;9;122784
115;10;132396
115;11;142448
115;12;151024
116;1;288
116;2;35180
116;3;57244
116;4;74772
116;5;90128
116;6;103572
116;7;116280
116;8;127552
116;9;139480
116;10;149292
116;11;159584
116;12;168392
117;1;280
117;2;796
117;3;1316
117;4;26284
118;1;288
118;2;33248
118;3;54856
118;4;71908
118;5;87108
118;6;100360
118;7;113048
118;8;124120
118;9;136108
118;10;145768
118;11;156068
118;12;164816
119;1;280
119;2;32532
119;3;54488
119;4;71600
119;5;86992
119;6;100200
119;7;113480
119;8;114372
120;1;280
120;2;32464
120;3;54432
120;4;71360
120;5;86888
120;6;99948
120;7;112820
120;8;123768
120;9;135976
120;10;145492
120;11;155976
120;12;164564
121;1;276
121;2;33544
121;3;55480
121;4;72704
121;5;88360
121;6;101588
121;7;114164
121;8;125256
121;9;137192
121;10;146888
121;11;157104
121;12;165840
122;1;284
122;2;32948
122;3;54760
122;4;71892
122;5;87488
122;6;100644
122;7;113376
122;8;124424
122;9;136492
122;10;146148
122;11;156468
122;12;165124
123;1;284
123;2;32920
123;3;54748
123;4;71960
123;5;87700
123;6;100916
123;7;113564
123;8;124604
123;9;136632
123;10;146304
123;11;156616
123;12;165336
124;1;244
124;2;28548
124;3;48860
124;4;65208
124;5;80188
124;6;93052
124;7;105420
124;8;116268
124;9;128000
124;10;137516
124;11;147600
124;12;156660
125;1;276
125;2;29836
125;3;50744
125;4;67404
125;5;82632
125;6;95560
125;7;108148
125;8;119044
125;9;131000
125;10;140532
125;11;150812
125;12;159428
126;1;200
126;2;27360
126;3;47144
126;4;63408
126;5;78152
126;6;90920
126;7;103304
126;8;114176
126;9;125952
126;10;135484
126;11;145640
126;12;154272
127;1;232
127;2;31236
127;3;52640
127;4;69488
127;5;84632
127;6;97688
127;7;110312
127;8;121300
127;9;133188
127;10;142760
127;11;152988
127;12;161648
128;1;276
128;2;29628
128;3;50472
128;4;67048
128;5;82144
128;6;95012
128;7;107400
128;8;118304
128;9;130112
128;10;139676
128;11;149788
128;12;158388
129;1;200
129;2;25308
129;3;44448
129;4;60184
129;5;74648
129;6;87216
129;7;99324
129;8;110020
129;9;121592
129;10;131048
129;11;140972
129;12;149492
130;1;288
130;2;31668
130;3;52840
130;4;69812
130;5;85000
130;6;98148
130;7;110752
130;8;121780
130;9;133644
130;10;143308
130;11;153480
130;12;162244
131;1;240
131;2;29368
131;3;50200
131;4;66828
131;5;81888
131;6;94900
131;7;107372
131;8;118352
131;9;130128
131;10;139760
131;11;149888
131;12;158564
132;1;276
132;2;27740
132;3;47812
132;4;64176
132;5;79036
132;6;91884
132;7;104208
132;8;115148
132;9;126760
132;10;136372
132;11;146436
132;12;155052
133;1;288
133;2;117516
133;3;118260
134;1;248
134;2;33728
134;3;55520
134;4;72740
134;5;88172
134;6;101388
134;7;114020
134;8;125144
134;9;137068
134;10;146776
134;11;156976
134;12;165696
135;1;284
135;2;29548
135;3;50144
135;4;66792
135;5;82016
135;6;95048
135;7;107456
135;8;118452
135;9;130212
135;10;140160
135;11;150712
135;12;159748
136;1;244
136;2;29828
136;3;50740
136;4;67348
136;5;82504
136;6;95484
136;7;108004
136;8;118908
136;9;130760
136;10;140344
136;11;150520
136;12;159180
137;1;240
137;2;28660
137;3;48952
137;4;65460
137;5;80360
137;6;93300
137;7;105628
137;8;116580
137;9;128324
137;10;137920
137;11;148028
137;12;156676
138;1;204
138;2;28116
138;3;48032
138;4;64480
138;5;79072
138;6;92036
138;7;104412
138;8;115376
138;9;127104
138;10;136732
138;11;146828
138;12;155468
